season,competition,round,event_id,match_code,match_label,home_team,away_team,goal_incident_id,scorer_name,goal_minute,goal_added_time,home_score_after,away_score_after,sequence_order,player_name,player_id,player_position,action_type,is_assist,from_x,from_y,to_x,to_y,is_home,transformed_at
2026,Brasileirão Série B,2,15526002,jOswP,Sport Recife x Vila Nova FC,Sport Recife,Vila Nova FC,343215356,Janderson,59,,0,1,4,Marquinhos Gabriel,90812,M,pass,False,31.8,78.5,16.8,93.8,False,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,2,15526002,jOswP,Sport Recife x Vila Nova FC,Sport Recife,Vila Nova FC,343215356,Janderson,59,,0,1,5,Ryan Lima,1634692,F,cross,True,7.8,81.2,3.8,41.9,False,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,2,15526002,jOswP,Sport Recife x Vila Nova FC,Sport Recife,Vila Nova FC,343215356,Janderson,59,,0,1,6,Janderson,870898,M,goal,False,3.8,41.9,,,False,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,3,15526008,jOsxP,Londrina x Sport Recife,Londrina,Sport Recife,343667532,Perotti,87,,1,2,1,Zé Marcos,901700,D,pass,False,75.7,4.9,32.3,90.0,False,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,3,15526008,jOsxP,Londrina x Sport Recife,Londrina,Sport Recife,343667532,Perotti,87,,1,2,2,Augusto Pucci,2027140,M,cross,True,32.3,90.0,7.0,36.0,False,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,3,15526008,jOsxP,Londrina x Sport Recife,Londrina,Sport Recife,343667532,Perotti,87,,1,2,3,Perotti,840076,F,goal,False,5.7,39.7,,,False,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,3,15526008,jOsxP,Londrina x Sport Recife,Londrina,Sport Recife,343666335,Chrystian Barletta,67,,1,1,1,Chrystian Barletta,1035765,M,goal,False,11.5,50.0,,,False,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,3,15526008,jOsxP,Londrina x Sport Recife,Londrina,Sport Recife,343662632,Bruno Santos,22,,1,0,1,Lucas Marques,796100,M,pass,False,63.2,34.9,77.7,11.4,True,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,3,15526008,jOsxP,Londrina x Sport Recife,Londrina,Sport Recife,343662632,Bruno Santos,22,,1,0,2,Vitinho,2125637,M,ball-movement,False,77.7,11.4,,,True,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,3,15526008,jOsxP,Londrina x Sport Recife,Londrina,Sport Recife,343662632,Bruno Santos,22,,1,0,3,Vitinho,2125637,M,save,False,87.4,26.7,,,True,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,3,15526008,jOsxP,Londrina x Sport Recife,Londrina,Sport Recife,343662632,Bruno Santos,22,,1,0,4,Bruno Santos,1105781,F,goal,False,96.7,57.5,,,True,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344381660,Sorriso,90,6.0,2,2,1,Zé Ricardo,840132,M,pass,True,56.1,68.9,13.8,37.0,False,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344381660,Sorriso,90,6.0,2,2,2,Sorriso,1897879,M,goal,False,5.8,40.1,,,False,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344381519,Carlos De Pena,89,,2,1,1,Marlon,965796,M,cross,True,89.7,10.9,90.8,50.7,True,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344381519,Carlos De Pena,89,,2,1,2,Carlos De Pena,311394,M,goal,False,90.8,50.7,,,True,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344380635,Chrystian Barletta,45,9.0,1,1,1,Chrystian Barletta,1035765,M,goal,False,88.5,50.0,,,True,2026-04-14T17:35:38.448970Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344379671,Luiz Henrique,19,,0,1,1,Luiz Henrique,1015283,M,goal,False,11.5,50.0,,,False,2026-04-14T17:35:38.448970Z
